rank,participant_id,elapsed_minutes,runs_with_value,mean_best_feasible_loss,std_best_feasible_loss,sem_best_feasible_loss,median_best_feasible_loss,minimum_best_feasible_loss,maximum_best_feasible_loss,exact_run_count,sampled_upper_bound_run_count,missing_run_count
25,lodev,240,10,0.6184402200945565,0.6825226760879827,0.21583262111513662,0.41899817167777154,0.16800138824996871,2.5301773432288175,10,0,0
26,mnn31,15,10,2.7130239725112917,1.0931293092147716,0.34567783942051644,2.7133272886276245,1.012858510017395,4.445959091186523,0,10,0
26,mnn31,30,10,1.7041963994503022,0.6599161890798841,0.20868382223107698,1.6583654284477234,0.4686095118522644,2.6476705074310303,0,10,0
26,mnn31,60,10,1.1463306277990342,0.6407879461857788,0.2026349407128466,1.0598824322223663,0.34145987033843994,2.045802593231201,0,10,0
26,mnn31,120,10,0.7316588569983236,0.49664432909689893,0.1570527266952436,0.5156891793012619,0.28758442401885986,1.6919809579849243,1,9,0
26,mnn31,180,10,0.6803780136044839,0.482660300864083,0.15263058868726384,0.4516844174421134,0.24908661842346191,1.6919809579849243,4,6,0
26,mnn31,240,10,0.6545984333991904,0.45878542701150593,0.14508069066492957,0.44958799071283917,0.1724273373048461,1.5430321967827982,10,0,0
27,syurenuko,15,10,5.345805406570435,0.2315385089913209,0.07321890544519494,5.333661317825317,5.028573513031006,5.698593616485596,0,10,0
27,syurenuko,30,10,2.2202149391174317,1.1663478128009248,0.3688315632406615,2.221381425857544,0.7594319581985474,4.243963241577148,0,10,0
27,syurenuko,60,10,0.8117796555161476,1.1694575321776675,0.36981494285210814,0.4572116881608963,0.1548602432012558,4.11663818359375,0,10,0
27,syurenuko,120,10,0.7698192238807678,1.1437179689102879,0.3616753782618156,0.44241297245025635,0.14722177386283875,4.005311012268066,0,10,0
27,syurenuko,180,10,0.7608303830027581,1.1442045001407064,0.3618292329459083,0.43075379729270935,0.1356600970029831,3.9967339038848877,0,10,0
27,syurenuko,240,10,0.728109526732182,1.1486109592089695,0.3632226776531098,0.4148350341611756,0.12151027082764991,3.9788121262639677,10,0,0
28,carlometta,15,10,2.577382516860962,1.0664007476294954,0.3372255261015611,2.606466770172119,1.3895180225372314,4.445693492889404,0,10,0
28,carlometta,30,10,2.1862231254577638,1.0655808000723088,0.336966235917301,2.0357417464256287,0.8225328922271729,4.445667743682861,0,10,0
28,carlometta,60,10,1.8436328172683716,1.2127762538176483,0.3835135254230245,1.6076464653015137,0.566494882106781,4.443040370941162,0,10,0
28,carlometta,120,10,1.11003677546978,0.7572815880079486,0.23947346482143703,0.9001907706260681,0.48633015155792236,2.7813024520874023,0,10,0
28,carlometta,180,10,0.7649192319992253,0.37673693469546476,0.11913467923477818,0.5757880225160426,0.4504452807690318,1.4886029958724976,6,4,0
28,carlometta,240,10,0.7483886608467593,0.3511350984693831,0.11103866775907542,0.5749680586011587,0.4504452807690318,1.410814592277052,10,0,0
29,hangglider5,15,10,3.479244017601013,0.8244666507700693,0.2607192471284035,3.3688035011291504,2.188361406326294,4.5430827140808105,0,10,0
29,hangglider5,30,10,3.110650861263275,1.0349992681665647,0.3272955064013749,3.1716517210006714,1.5576224327087402,4.434563636779785,0,10,0
29,hangglider5,60,10,2.1922179639339445,0.7892935617269551,0.24959653975638815,2.3400274515151978,0.8358144164085388,3.256770610809326,0,10,0
29,hangglider5,120,10,1.3454747461359589,0.8175698347094622,0.25853828239292864,1.1767683029174805,0.48438769578933716,3.104515790939331,1,9,0
29,hangglider5,180,10,0.9926147422341387,0.8352747964553039,0.26413708289322974,0.6066749095916748,0.4508005678653717,2.9605440776218903,2,8,0
29,hangglider5,240,10,0.792770333426078,0.7816997960793789,0.24719518020999975,0.49559701750136786,0.33793483528998863,2.9605440776218903,10,0,0
